"","sample_name","new_phenotype"
"1","AZ-ARHI-Plaat2-0097",0
"2","AZ-ARHI-Plaat2-0098",0
"3","AZ-ARHI-Plaat2-0099",0
"4","AZ-ARHI-Plaat2-0100",0
"5","AZ-ARHI-Plaat2-0101",0
"6","AZ-ARHI-Plaat2-0102",0
"7","AZ-ARHI-Plaat2-0103",0
"8","AZ-ARHI-Plaat2-0104",0
"9","AZ-ARHI-Plaat2-0105",0
"10","AZ-ARHI-Plaat2-0107",0
"11","AZ-ARHI-Plaat2-0108",0
"12","AZ-ARHI-Plaat2-0109",0
"13","AZ-ARHI-Plaat2-0110",0
"14","AZ-ARHI-Plaat2-0111",0
"15","AZ-ARHI-Plaat2-0112",0
"16","AZ-ARHI-Plaat2-0113",0
"17","AZ-ARHI-Plaat2-0114",0
"18","AZ-ARHI-Plaat2-0115",0
"19","AZ-ARHI-Plaat2-0116",0
"20","AZ-ARHI-Plaat2-0117",0
"21","AZ-ARHI-Plaat2-0118",0
"22","AZ-ARHI-Plaat2-0119",0
"23","AZ-ARHI-Plaat2-0120",0
"24","AZ-ARHI-Plaat2-0121",0
"25","AZ-ARHI-Plaat2-0122",0
"26","AZ-ARHI-Plaat2-0124",0
"27","AZ-ARHI-Plaat2-0125",0
"28","AZ-ARHI-Plaat2-0127",0
"29","AZ-ARHI-Plaat2-0128",0
"30","AZ-ARHI-Plaat2-0129",0
"31","AZ-ARHI-Plaat2-0130",0
"32","AZ-ARHI-Plaat2-0131",0
"33","AZ-ARHI-Plaat2-0132",0
"34","AZ-ARHI-Plaat2-0133",0
"35","AZ-ARHI-Plaat2-0134",0
"36","AZ-ARHI-Plaat2-0135",0
"37","AZ-ARHI-Plaat2-0136",0
"38","AZ-ARHI-Plaat2-0137",0
"39","AZ-ARHI-Plaat2-0138",0
"40","AZ-ARHI-Plaat2-0139",0
"41","AZ-ARHI-Plaat2-0140",0
"42","AZ-ARHI-Plaat2-0141",0
"43","AZ-ARHI-Plaat2-0142",0
